SYMBOL,NSE symbol,Todays Rate,Low,Open,High,Output,Volume,94642035,15268170215,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),362869,INE415G01027
MPHASIS,NSE:MPHASIS,2350,2314.5,2329.75,2368.9,Avoid,369610,327309,219189034.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),23162,INE220B01022
KANANIIND,NSE:KANANIIND,7.55,7.5,7.55,7.7,Best for Sell,216429,326175,97886207.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8816,INE742B01025
ASTRON,NSE:ASTRON,29.45,28.65,29.2,29.7,Avoid,6863,325642,367130165.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),18126,INE235A01022
GHCLTEXTIL,NSE:GHCLTEXTIL,69.7,69.2,71.05,71.4,Avoid,222256,325066,57818511.05,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7035,INE050401020
BAJAJ-AUTO,NSE:BAJAJ-AUTO,5633.65,5606,5610.05,5675.95,Avoid,679425,324266,5094657.45,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1296,INE946H01037
ELIN,NSE:ELIN,152,151.1,154.95,155.4,Avoid,168459,321062,3413127.05,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),465,INE619I01012
COMPINFO,NSE:COMPINFO,9.3,9.15,9.3,9.3,Best for Sell,285747,321006,326830970.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),16601,INE102D01028
DMART,NSE:DMART,3804,3771.7,3810.9,3833,Avoid,252998,320215,810289628.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),19860,INE127D01025
GET&D,NSE:GET&D,396,395,402.25,416.4,Avoid,47297,318970,87993467.65,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6538,INE419M01027
PRINCEPIPE,NSE:PRINCEPIPE,691.5,688.4,699,709,Avoid,154709,316602,30566083.35,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2985,INE416D01022
BALAJITELE,NSE:BALAJITELE,70.85,70.35,74.5,74.9,Avoid,456097,316577,8001955.75,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1586,INE875G01030
BIRLAMONEY,NSE:BIRLAMONEY,111.95,111.7,116.15,116.45,Avoid,466400,315938,34890828.55,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4444,INE636A01039
SONATSOFTW,NSE:SONATSOFTW,1379,1362.25,1362.65,1399,Avoid,209725,315166,5823423.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1101,INE236A01020
BPL,NSE:BPL,92.75,92.75,92.75,92.75,Best for Buy,71557,314107,318489294.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),14181,INE338H01029
SUPREMEIND,NSE:SUPREMEIND,4200,4133.2,4201,4244.75,Avoid,104134,313212,996799709.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),21612,INE042A01014
SARLAPOLY,NSE:SARLAPOLY,49.2,48.7,50.1,50.4,Avoid,104059,312755,125799230.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11601,INE258B01022
DREAMFOLKS,NSE:DREAMFOLKS,565.5,552.6,566.9,573.5,Avoid,792814,312398,143528658,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),14481,INE138Y01010
KESORAMIND,NSE:KESORAMIND,113.35,112.2,115.7,115.7,Avoid,1676067,312152,197125388.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11978,INE128X01021
MCLEODRUSS,NSE:MCLEODRUSS,22.25,21.5,22.2,22.25,Avoid,1181851,306808,42810497.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4623,INE02YR01019
INSECTICID,NSE:INSECTICID,515.8,514.35,523,530,Avoid,45409,305769,4339582.45,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),619,INE919I01024
GLS,NSE:GLS,625.1,624,624,628.85,Best for Buy,56442,304317,17529866.25,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3021,INE453D01025
RAINBOW,NSE:RAINBOW,1111,1074,1085,1178,Avoid,564208,303827,95231652.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7319,INE475B01022
PVP,NSE:PVP,13.9,13.85,14.05,14.05,Avoid,37706,303613,29306443.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3148,INE297H01019
TAKE,NSE:TAKE,20.6,20.4,20.75,20.95,Avoid,156614,303018,3443538.85,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),695,INE065J01016
JKLAKSHMI,NSE:JKLAKSHMI,813.5,797.7,812.6,815.9,Avoid,183242,302752,12934016.45,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1861,INE383H01017
CYIENT,NSE:CYIENT,1836,1743.4,1744.9,1845,Avoid,1604788,302067,134973635.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11985,INE884A01027
MUKANDLTD,NSE:MUKANDLTD,172,170.05,175.25,176.6,Avoid,157281,301760,33802859.35,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4165,INE722H01024
SIYSIL,NSE:SIYSIL,551.45,529.25,542.6,555,Avoid,178092,301699,6768848.85,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1674,INE161G01027
SINDHUTRAD,NSE:SINDHUTRAD,27.4,25.5,26.9,27.4,Avoid,536982,301288,272418090.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),15125,INE615I01010
VISAKAIND,NSE:VISAKAIND,82.25,81.65,83.05,83.35,Avoid,177300,300163,270101624.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),14975,INE571A01038
PILITA,NSE:PILITA,9.85,9.6,10.2,10.2,Avoid,308839,300117,53714238.85,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),5962,INE0N7W01012
WELENT,NSE:WELENT,333,320,320,334.3,Best for Buy,630577,299844,23847740.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),5725,INE0PA801013
BATAINDIA,NSE:BATAINDIA,1584.7,1578,1599.95,1605,Avoid,92333,299842,109023845,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8049,INE270I01022
SUPRAJIT,NSE:SUPRAJIT,374.5,372,375,375.8,Avoid,89604,299784,115152113.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11961,INE08ZM01014
MEP,NSE:MEP,12.85,12.4,12.8,13,Avoid,664706,299118,3948235.55,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),851,INE070C01037
TRIGYN,NSE:TRIGYN,123.95,119.65,119.65,125.15,Best for Buy,260248,298021,134304585.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),10450,INE0LRU01027
KAYNES,NSE:KAYNES,2424,2400,2525,2548.65,Avoid,116621,297448,601117547.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),16837,INE259A01022
SHIVAMAUTO,NSE:SHIVAMAUTO,30.95,30.6,30.75,31.8,Avoid,84149,296559,36955668.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3428,INE805C01028
INDOAMIN,NSE:INDOAMIN,116.5,113.2,115,118,Avoid,269851,296125,20125812.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2416,INE794B01026
GANESHBE,NSE:GANESHBE,159.8,150.25,151.95,159.95,Avoid,679170,296106,36453427.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3839,INE715B01021
PATINTLOG,NSE:PATINTLOG,18.15,17.2,17.8,18.9,Avoid,2129867,295099,94893248.35,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9016,INE267A01025
GRAVITA,NSE:GRAVITA,1132,1120,1145,1152.8,Avoid,52884,295073,165068630.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),16406,INE427F01016
SAPPHIRE,NSE:SAPPHIRE,1393.95,1380,1399.95,1402,Avoid,46634,295028,201229415.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),15518,INE786A01032
HCL-INSYS,NSE:HCL-INSYS,17.45,17.25,18,18.25,Avoid,1483765,294437,174987300.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),15679,INE668A01016
PARAS,NSE:PARAS,709.85,708.2,716,722,Avoid,179826,293448,199860671.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11031,INE572E01012
NELCAST,NSE:NELCAST,171.9,170.3,173.2,175.7,Avoid,212635,292976,23700786.15,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2858,INE732F01019
TEXINFRA,NSE:TEXINFRA,106.6,101.75,103,108.35,Avoid,1885727,292888,167226566.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),13986,INE813A01018
DBCORP,NSE:DBCORP,296,294.95,299.9,300.8,Avoid,138672,292671,1462642146,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),25431,INE437A01024
SANDHAR,NSE:SANDHAR,496.5,472.75,475,504,Avoid,699094,291582,20442337.63,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2842,INE183W23014
MUNJALAU,NSE:MUNJALAU,62.85,62.75,63,65,Avoid,458088,291476,195345.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),90,INE319Z01021
INDSWFTLAB,NSE:INDSWFTLAB,93.75,92.75,94.5,96.75,Avoid,237212,289297,46321500.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4743,INE060A01024
ALKEM,NSE:ALKEM,4398.75,4380.8,4450,4450,Avoid,173174,287507,284035857.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),25976,INE274F01020
BFUTILITIE,NSE:BFUTILITIE,675,646,646.05,675,Avoid,592236,287064,95353909.95,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6081,INE350C01017
EDUCOMP,NSE:EDUCOMP,2.4,2.4,2.4,2.4,Best for Buy,7121,286968,209860437.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9642,INE306R01017
SESHAPAPER,NSE:SESHAPAPER,333,332.8,332.8,337,Best for Buy,41209,286262,6496264.85,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),976,INE553C01016
IONEXCHANG,NSE:IONEXCHANG,594,571.25,572,595,Avoid,294106,286218,32201860.05,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),980,INE999B01013
NITCO,NSE:NITCO,29,29,30.8,30.8,Avoid,274712,285075,47558373.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4399,INE840M01016
ACE,NSE:ACE,850.5,845.15,870,879.95,Avoid,164132,283536,38174369.45,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),5870,INE843D01027
TIINDIA,NSE:TIINDIA,3162,3131,3150,3196,Avoid,105541,282990,226923665.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),15538,INE472A01039
SHAKTIPUMP,NSE:SHAKTIPUMP,1026,1017.15,1038.05,1044.65,Avoid,68286,282870,113084775.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11943,INE825A01020
SARDAEN,NSE:SARDAEN,241,229.3,233.3,242.65,Avoid,483234,282287,25381048.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2653,INE054C01015
RATEGAIN,NSE:RATEGAIN,716,711.3,722,727.75,Avoid,196193,281788,31927435.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3544,INE071E01023
INTLCONV,NSE:INTLCONV,91.7,91,94,94.45,Avoid,511929,281455,109658751.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7415,INE509F01011
NAUKRI,NSE:NAUKRI,4758.05,4732.1,4805,4839.25,Avoid,159446,281261,1855646.25,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),201,INE336H01023
KEI,NSE:KEI,2779.55,2693.05,2722.75,2814,Avoid,547577,281159,79509786.35,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6678,INE041A01016
COROMANDEL,NSE:COROMANDEL,1112.4,1109.6,1122.55,1122.55,Avoid,86630,280869,1562343176,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),28288,INE591G01017
MORARJEE,NSE:MORARJEE,23.7,23.6,23.7,24.35,Best for Sell,27102,278869,77898757.75,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6612,INE625G01013
PFOCUS,NSE:PFOCUS,108,107,108.2,112.4,Avoid,551965,278293,1261094167,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),29349,INE216A01030
GOLDIAM,NSE:GOLDIAM,164.95,145.55,145.6,169.35,Avoid,6800327,277243,8344525.35,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2133,INE590L01019
CGCL,NSE:CGCL,751,750,763.4,763.4,Avoid,83036,276913,13283099.75,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),517,INE450G01024
MANAKSTEEL,NSE:MANAKSTEEL,45.95,44.65,44.8,45.95,Avoid,131315,275324,1183506.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),163,INE695B01025
DRREDDY,NSE:DRREDDY,5605,5585.9,5614.95,5656.1,Avoid,400325,273426,9542827.19,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),653,INF174KA1IA5
COFORGE,NSE:COFORGE,5706.7,5651.2,5670.05,5846.25,Avoid,482383,271519,1352920.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),626,INE018401013
INDIAMART,NSE:INDIAMART,2625,2600,2625,2645,Best for Sell,208150,270176,15388463,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2464,INE00IK01029
AARTIDRUGS,NSE:AARTIDRUGS,477,470.25,472,478.95,Avoid,97767,268295,484239080.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),22152,INE745G01035
COUNCODOS,NSE:COUNCODOS,4.45,4.35,4.4,4.45,Avoid,107271,266436,205188706.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),17504,INE887G01027
TATAMETALI,NSE:TATAMETALI,955.25,954.75,961.05,964.95,Avoid,68972,266337,33636796.85,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4817,INE720A01015
SANGHIIND,NSE:SANGHIIND,113.05,112.45,114,114.05,Avoid,720639,266262,110916759,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),12872,INE576I01022
PANAMAPET,NSE:PANAMAPET,309.25,296.85,305.95,309.95,Avoid,68163,265903,30670883.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4453,INE314T01025
PRSMJOHNSN,NSE:PRSMJOHNSN,164.05,162.9,167.05,168.5,Avoid,899461,264681,69920561.55,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8633,INE557B01019
NECLIFE,NSE:NECLIFE,28.3,25.4,25.65,28.65,Avoid,5074836,263241,18459753.14,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1087,INF179KC1DI2
MARALOVER,NSE:MARALOVER,73.85,71.45,71.45,74.35,Best for Buy,137496,263129,106987736,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7800,INE998I01010
PIIND,NSE:PIIND,3682.5,3675,3726.5,3731,Avoid,136505,262432,5892003.88,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4029,INF209KB19D1
BLAL,NSE:BLAL,159,157.8,157.8,161.8,Best for Buy,109543,262360,95853067.65,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9132,INE0JO301016
UMESLTD,NSE:UMESLTD,6.05,6.05,6.1,6.1,Avoid,896,261926,6364801.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),185,INE831A01028
HUBTOWN,NSE:HUBTOWN,70.7,68.15,70.7,70.7,Best for Sell,1149442,261307,2393686.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),664,INE648Z01023
PTL,NSE:PTL,43.3,42.6,43.85,44.35,Avoid,166572,261117,279043876,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),18450,INE149A01033
GALLANTT,NSE:GALLANTT,97.7,96.6,100.5,100.55,Avoid,243861,258808,47888731.95,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6198,INE304A01026
BHAGYANGR,NSE:BHAGYANGR,64.25,63,63,64.25,Best for Buy,19554,257871,44042049.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3473,INE0MIS01010
CEATLTD,NSE:CEATLTD,2099.65,2095.05,2120.95,2125,Avoid,115093,257559,13348691.61,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1329,INF200KA16D8
NRBBEARING,NSE:NRBBEARING,265,261.45,269.4,269.4,Avoid,169771,255995,99084285.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8956,INE778U01029
FLUOROCHEM,NSE:FLUOROCHEM,2785.1,2785,2815,2820,Avoid,55336,255319,194466942.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11602,INE930H01031
JAGRAN,NSE:JAGRAN,98.5,96.45,99.5,99.6,Avoid,192065,254534,14730926,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),577,INE059B01024
SPTL,NSE:SPTL,1.35,1.35,1.35,1.35,Best for Buy,430711,254132,39735281.93,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),686,INF109KC1G82
SANGHVIMOV,NSE:SANGHVIMOV,784.9,779,801,810.9,Avoid,120914,252813,53869492.15,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3548,INE155G01029
CUPID,NSE:CUPID,875,870,887,894.8,Avoid,135436,252260,34176033.85,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4726,INE025R01021
OSWALGREEN,NSE:OSWALGREEN,25.4,25.4,26.1,26.1,Avoid,168050,251024,68040709.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),5262,INE418H01029
RML,NSE:RML,818.8,802.5,808,823.05,Avoid,13803,250734,133901300,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),12689,INE405C01035
SBCL,NSE:SBCL,532.9,531,537.45,545,Avoid,77520,250672,896516361.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),36845,INE513A01022
AJANTPHARM,NSE:AJANTPHARM,1967.95,1908.55,1931.05,1980,Avoid,192467,250199,1907170.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),346,INE705X01026
VETO,NSE:VETO,115.4,114.05,117.75,117.75,Avoid,64569,249784,100729663,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),10489,INE919H01018
RAMCOCEM,NSE:RAMCOCEM,984.95,982,1009.95,1010.5,Avoid,316855,249782,182716143.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),13880,INE689W01016
RHIM,NSE:RHIM,688,683.1,686.85,695.65,Avoid,246022,248579,123113815.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8969,INE850D01014
MICEL,NSE:MICEL,36.7,36.25,37,37.7,Avoid,233487,247373,913801610.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),16663,INE361B01024
HEG,NSE:HEG,1589.4,1584.5,1614.65,1616.1,Avoid,81739,246579,142453401.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),17410,INE271B01025
KPIGREEN,NSE:KPIGREEN,1216,1123.9,1138,1245.55,Avoid,813455,244683,20121951.05,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2303,INE435C01024
NUVOCO,NSE:NUVOCO,350.5,348.45,351.3,354.5,Avoid,94734,244392,1338399427,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),29100,INE214T01019
PRICOLLTD,NSE:PRICOLLTD,337.85,336,338.9,343.5,Avoid,212488,244365,219423638.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8501,INE331A01037
TEMBO,NSE:TEMBO,251.05,250,256,256,Avoid,51299,243757,52163990.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),5676,INE133E01013
AXITA,NSE:AXITA,26.95,26.65,26.7,27.2,Avoid,3146530,242258,70605501.45,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7526,INE484I01029
RPPINFRA,NSE:RPPINFRA,98,98,98,98.4,Best for Buy,150745,240887,11962893.25,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),576,INE703H01016
SAH,NSE:SAH,112,110.35,110.7,114.5,Avoid,101590,240804,59001288.51,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2772,INE0FDU25010
MAHLIFE,NSE:MAHLIFE,516.5,508.15,511,517,Avoid,122882,239802,62776492.15,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6408,INE802C01033
ADFFOODS,NSE:ADFFOODS,216.4,213.1,215.95,218.1,Avoid,116718,239799,9169862.05,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1475,INE818B01023
FUSION,NSE:FUSION,592,583.75,594,599,Avoid,146971,239752,116012551.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),10798,INE956G01038
MGL,NSE:MGL,1034,1032.05,1053.6,1053.6,Avoid,160884,239040,1709136,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),143,INE691Z01023
SCHAND,NSE:SCHAND,260.55,254.2,265.55,267.8,Avoid,44718,238130,144041823.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),14929,INE409B01013
THERMAX,NSE:THERMAX,2788.9,2775,2834.9,2910.2,Avoid,51630,237816,99616131.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9616,INE128A01029
TIDEWATER,NSE:TIDEWATER,1282.5,1271.05,1278,1306.95,Avoid,107246,237812,38297664.85,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4431,INE460H01021
KAJARIACER,NSE:KAJARIACER,1262.85,1252.5,1287.3,1295.85,Avoid,147721,237517,15035428.15,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2081,INE090B01011
GODREJAGRO,NSE:GODREJAGRO,485.65,480.35,483,487,Avoid,102984,235987,2800466.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),778,INE130B01031
PRITI,NSE:PRITI,216.3,201.5,201.5,216.3,Best for Buy,107705,233981,16574380.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2979,INE978G01016
GOKUL,NSE:GOKUL,43.4,42.9,44.95,45.35,Avoid,564864,233877,184182.25,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),109,INE287Z01012
MANYAVAR,NSE:MANYAVAR,1287.95,1272,1302.65,1311.7,Avoid,142551,233095,19260940.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2668,INE161A01038
SJS,NSE:SJS,621.2,610.7,622,628,Avoid,138500,231702,66898910.55,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9620,INE290A01027
ROSSELLIND,NSE:ROSSELLIND,445,441.05,452.65,454.95,Avoid,30343,231527,86081613.35,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7748,INE818A01017
MAANALU,NSE:MAANALU,131.8,129.55,134.15,136,Avoid,76616,231272,1033769816,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),19234,INE117A01022
JOCIL,NSE:JOCIL,208.2,208.05,214.05,215.7,Avoid,12471,230066,35255264.14,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),196,INF789F1AYX9
KANSAINER,NSE:KANSAINER,319,318.15,326.65,327.5,Avoid,168187,229784,6350779.75,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),827,INE730A01022
RSYSTEMS,NSE:RSYSTEMS,486,480.1,485.4,494,Avoid,40292,229726,185839989.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9635,INE804L01022
SHILPAMED,NSE:SHILPAMED,366,364.85,376,378.45,Avoid,364777,228890,16763222.15,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1503,INE630Y01024
PRESTIGE,NSE:PRESTIGE,891,872.1,880.6,908.6,Avoid,1189371,228811,94467171.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7822,INE255X01014
MEDPLUS,NSE:MEDPLUS,838.5,817.1,820.3,841.95,Avoid,206981,228540,482022222.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),25889,INE301A01014
NAVA,NSE:NAVA,376.5,374.1,387.95,388.45,Avoid,420356,228117,98765194.05,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),5182,INE351A01035
CAPLIPOINT,NSE:CAPLIPOINT,1273.9,1264.05,1292,1298,Avoid,84978,227906,113726381.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11988,INE492A01029
DLINKINDIA,NSE:DLINKINDIA,313.5,311.9,316.5,319.7,Avoid,91845,227420,81312942.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8422,INE0D0K01014
MUTHOOTFIN,NSE:MUTHOOTFIN,1324,1322.2,1340.55,1364.5,Avoid,431361,227181,23093491.05,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3210,INE372C01037
AVTNPL,NSE:AVTNPL,88.5,87,90.15,90.5,Avoid,198197,226677,226676959.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),261,INF740KA1EU7
SIEMENS,NSE:SIEMENS,3580,3560,3580,3595,Best for Sell,109320,226465,118767937.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),12753,INE847C01020
IPCALAB,NSE:IPCALAB,1059.55,1059.1,1081.05,1091.7,Avoid,248129,226331,48673769.95,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6061,INE676A01027
RAYMOND,NSE:RAYMOND,1762.1,1757,1799.95,1808.1,Avoid,144970,223803,123143945.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),14321,INE285K01026
AAATECH,NSE:AAATECH,78.9,74.35,75.6,80.9,Avoid,912626,223257,28963609.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3100,INE972X01014
RADICO,NSE:RADICO,1431,1417,1445.05,1455,Avoid,155951,222905,30561481.45,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),3347,INE918N01018
VLEGOV,NSE:VLEGOV,31.25,31,31.5,31.7,Avoid,111351,222717,6082098.95,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1453,INE02EZ01022
LUMAXTECH,NSE:LUMAXTECH,377.4,370.85,370.85,390.1,Best for Buy,256889,220875,86585052.25,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),9332,INE247D01039
OILCOUNTUB,NSE:OILCOUNTUB,21.6,21,21.6,21.6,Best for Sell,37136,220804,13045430.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),699,INE802G01018
PHOENIXLTD,NSE:PHOENIXLTD,2280,2260,2298,2335.45,Avoid,292576,220136,34959145.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),4259,INE0CG601016
VIPCLOTHNG,NSE:VIPCLOTHNG,48,46.75,47.45,48.2,Avoid,431821,220087,12772562.75,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1964,INE419A01022
